,phenomenon,domain,generic,exemplar,random_exemplar,exception
0,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Zeppelins have property P.,Turkeys have property P.,0
1,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Tractors have property P.,Tigers have property P.,0
2,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Motorbikes have property P.,Falcons have property P.,0
3,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Helicopters have property P.,Rabbits have property P.,0
4,Nonmonotonicity (General),Birds,Birds have property P.,Vultures have property P.,Bats have property P.,0
5,Nonmonotonicity (General),Birds,Birds have property P.,Eagles have property P.,Helicopters have property P.,0
6,Nonmonotonicity (General),Birds,Birds have property P.,Turkeys have property P.,Sheep have property P.,0
7,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Trams have property P.,Horses have property P.,0
8,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Rockets have property P.,Ostriches have property P.,0
9,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Hovercraft have property P.,Mice have property P.,0
10,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Taxis have property P.,Penguins have property P.,0
11,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Sleds have property P.,Parrots have property P.,0
12,Nonmonotonicity (General),Mammals,Mammals have property P.,Tigers have property P.,Canaries have property P.,0
13,Nonmonotonicity (General),Mammals,Mammals have property P.,Bats have property P.,Skateboards have property P.,0
14,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Jeeps have property P.,Ducks have property P.,0
15,Nonmonotonicity (General),Birds,Birds have property P.,Swans have property P.,Zebras have property P.,0
16,Nonmonotonicity (General),Birds,Birds have property P.,Sparrows have property P.,Dogs have property P.,0
17,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Submarines have property P.,Magpies have property P.,0
18,Nonmonotonicity (General),Vehicles,Vehicles have property P.,Airplanes have property P.,Swans have property P.,0
19,Nonmonotonicity (General),Birds,Birds have property P.,Storks have property P.,Cats have property P.,0
20,Nonmonotonicity (General),Birds,Birds have property P.,Robins have property P.,Donkeys have property P.,0
21,Nonmonotonicity (General),Mammals,Mammals have property P.,Squirrels have property P.,Hovercraft have property P.,0
22,Nonmonotonicity (General),Mammals,Mammals have property P.,Elephants have property P.,Mopeds have property P.,0
23,Nonmonotonicity (General),Birds,Birds have property P.,Swallows have property P.,Mice have property P.,0
24,Nonmonotonicity (General),Birds,Birds have property P.,Penguins have property P.,Squirrels have property P.,0
